geo_shape;osm_id;couvert;capacite;nom;acces;payant;surveille;type;notes;Lat;Lon
"{""type"": ""MultiPoint"", ""coordinates"": [[2.213831548375362, 48.69290389977147]]}";w146069762;OUI;4;;public;NON;NON;inconnu;;48.6929038998;2.21383154838
"{""type"": ""MultiPoint"", ""coordinates"": [[2.2572495, 48.89284169971889]]}";n3650968160;NON;8;;public;NON;NON;arceaux;;48.8928416997;2.2572495
"{""type"": ""MultiPoint"", ""coordinates"": [[2.2688608, 48.90226799971655]]}";n3635825501;NON;8;;public;NON;NON;arceaux;;48.9022679997;2.2688608
"{""type"": ""MultiPoint"", ""coordinates"": [[2.3530819, 48.83459429973333]]}";n7537095844;NON;2;;public;NON;NON;arceaux;;48.8345942997;2.3530819
"{""type"": ""MultiPoint"", ""coordinates"": [[2.3622654, 48.867861899725085]]}";n2286006747;NON;26;;public;NON;NON;arceaux;;48.8678618997;2.3622654
"{""type"": ""MultiPoint"", ""coordinates"": [[2.2884035, 48.82172949973653]]}";n5210874428;NON;6;;public;NON;NON;ratelier;;48.8217294997;2.2884035
"{""type"": ""MultiPoint"", ""coordinates"": [[2.2586265, 48.94673379970553]]}";n5307420791;OUI;30;Véligo;clientele;NON;NON;arceaux;;48.9467337997;2.2586265
"{""type"": ""MultiPoint"", ""coordinates"": [[2.3487778, 48.841590599731596]]}";n6417005555;NON;12;;public;NON;NON;arceaux;;48.8415905997;2.3487778
"{""type"": ""MultiPoint"", ""coordinates"": [[2.3178972, 48.82082969973675]]}";n6720884302;NON;10;;privee;NON;NON;arceaux;;48.8208296997;2.3178972
"{""type"": ""MultiPoint"", ""coordinates"": [[2.3759638, 48.841960199731496]]}";n4947011640;NON;12;;public;NON;NON;arceaux;;48.8419601997;2.3759638
"{""type"": ""MultiPoint"", ""coordinates"": [[2.3482707, 48.89053559971946]]}";n2585686163;NON;12;;public;NON;NON;arceaux;;48.8905355997;2.3482707
"{""type"": ""MultiPoint"", ""coordinates"": [[2.3497422, 48.83859289973233]]}";n7537095801;NON;16;;public;NON;NON;arceaux;;48.8385928997;2.3497422
"{""type"": ""MultiPoint"", ""coordinates"": [[2.3042536, 48.832537399733845]]}";n7555702991;NON;2;;public;NON;NON;arceaux;;48.8325373997;2.3042536
"{""type"": ""MultiPoint"", ""coordinates"": [[2.3116832, 48.81692289973771]]}";n5028869327;NON;2;;public;NON;NON;arceaux;;48.8169228997;2.3116832
"{""type"": ""MultiPoint"", ""coordinates"": [[2.3192134, 48.87487889972334]]}";n2937425828;NON;12;;public;NON;NON;arceaux;;48.8748788997;2.3192134
"{""type"": ""MultiPoint"", ""coordinates"": [[2.1969119, 48.97134309969942]]}";n6362152257;NON;6;;public;NON;NON;arceaux;;48.9713430997;2.1969119
"{""type"": ""MultiPoint"", ""coordinates"": [[2.267241, 48.746986399755066]]}";n2427291222;NON;8;;public;NON;NON;arceaux;;48.7469863998;2.267241
"{""type"": ""MultiPoint"", ""coordinates"": [[2.2850794, 48.845300699730664]]}";n7594912939;NON;2;;public;NON;NON;arceaux;;48.8453006997;2.2850794
"{""type"": ""MultiPoint"", ""coordinates"": [[2.3308084, 48.82396889973597]]}";n2650140999;NON;6;;public;NON;NON;arceaux;;48.8239688997;2.3308084
"{""type"": ""MultiPoint"", ""coordinates"": [[2.24859, 48.906238199715546]]}";n3721256031;NON;4;;public;NON;NON;arceaux;;48.9062381997;2.24859
"{""type"": ""MultiPoint"", ""coordinates"": [[2.799397700003598, 48.378180749846486]]}";w262725373;NON;30;;public;NON;NON;ancrage;;48.3781807498;2.7993977
"{""type"": ""MultiPoint"", ""coordinates"": [[2.1986371, 49.0085443996902]]}";n6362023849;NON;2;;public;NON;NON;arceaux;;49.0085443997;2.1986371
"{""type"": ""MultiPoint"", ""coordinates"": [[2.3679601, 48.71557509976286]]}";n7310664661;NON;0;;public;NON;NON;inconnu;;48.7155750998;2.3679601
"{""type"": ""MultiPoint"", ""coordinates"": [[2.3156189, 48.829358499734624]]}";n7489638533;NON;4;;public;NON;NON;arceaux;;48.8293584997;2.3156189
"{""type"": ""MultiPoint"", ""coordinates"": [[2.3458891, 48.87959039972218]]}";n5625185250;NON;10;;public;NON;NON;inconnu;;48.8795903997;2.3458891
"{""type"": ""MultiPoint"", ""coordinates"": [[2.03784, 48.929625899709755]]}";n3241154587;NON;4;Collégiale;public;NON;NON;arceaux;;48.9296258997;2.03784
"{""type"": ""MultiPoint"", ""coordinates"": [[2.328984695003342, 48.81801389973975]]}";w710359122;NON;4;;public;NON;NON;arceaux;;48.8180138997;2.328984695
"{""type"": ""MultiPoint"", ""coordinates"": [[2.3825325, 48.85605849972802]]}";n2441684734;NON;12;;public;NON;NON;arceaux;;48.8560584997;2.3825325
"{""type"": ""MultiPoint"", ""coordinates"": [[2.2849376, 48.73264379975862]]}";n6217475414;NON;2;;public;NON;NON;arceaux;;48.7326437998;2.2849376
"{""type"": ""MultiPoint"", ""coordinates"": [[2.3996446, 48.857803099727576]]}";n2557519418;NON;10;;public;NON;NON;arceaux;;48.8578030997;2.3996446
"{""type"": ""MultiPoint"", ""coordinates"": [[2.3147322, 48.8419605997315]]}";n2357192572;NON;14;;public;NON;NON;arceaux;;48.8419605997;2.3147322
"{""type"": ""MultiPoint"", ""coordinates"": [[2.1797696, 48.7016623997663]]}";n5096052959;NON;4;;public;NON;NON;arceaux;;48.7016623998;2.1797696
"{""type"": ""MultiPoint"", ""coordinates"": [[2.2921054, 48.84681779973028]]}";n7354001535;NON;0;;public;NON;NON;autres;;48.8468177997;2.2921054
"{""type"": ""MultiPoint"", ""coordinates"": [[2.3045437, 48.83015159973444]]}";n7555703003;NON;2;;public;NON;NON;arceaux;;48.8301515997;2.3045437
"{""type"": ""MultiPoint"", ""coordinates"": [[2.3536989, 48.84483369973079]]}";n5628655342;NON;10;;public;NON;NON;inconnu;;48.8448336997;2.3536989
"{""type"": ""MultiPoint"", ""coordinates"": [[2.4599488, 48.77996269974689]]}";n1474441966;NON;24;;public;NON;NON;inconnu;;48.7799626997;2.4599488
"{""type"": ""MultiPoint"", ""coordinates"": [[2.3799668, 48.856969099727785]]}";n2304319870;NON;20;;public;NON;NON;arceaux;;48.8569690997;2.3799668
"{""type"": ""MultiPoint"", ""coordinates"": [[2.3033542, 48.7783272997473]]}";n6789398159;NON;4;;public;NON;NON;inconnu;;48.7783272997;2.3033542
"{""type"": ""MultiPoint"", ""coordinates"": [[2.3474194, 48.879960599722075]]}";n2177689751;NON;10;;public;NON;NON;arceaux;;48.8799605997;2.3474194
"{""type"": ""MultiPoint"", ""coordinates"": [[2.4440376, 48.78602799974537]]}";n5632034309;NON;4;;public;NON;NON;inconnu;;48.7860279997;2.4440376
"{""type"": ""MultiPoint"", ""coordinates"": [[2.3449092, 48.844010699730994]]}";n6885054137;NON;6;;public;NON;NON;arceaux;;48.8440106997;2.3449092
"{""type"": ""MultiPoint"", ""coordinates"": [[2.01682, 48.52944299980889]]}";n7238329846;NON;4;;public;NON;NON;arceaux;;48.5294429998;2.01682
"{""type"": ""MultiPoint"", ""coordinates"": [[2.373655, 48.86818379972499]]}";n5630763880;NON;4;;public;NON;NON;inconnu;;48.8681837997;2.373655
"{""type"": ""MultiPoint"", ""coordinates"": [[2.3627131, 48.83410729973346]]}";n5628678093;NON;14;;public;NON;NON;inconnu;;48.8341072997;2.3627131
"{""type"": ""MultiPoint"", ""coordinates"": [[2.3273058, 48.88399829972108]]}";n2665761067;NON;8;;public;NON;NON;inconnu;;48.8839982997;2.3273058
"{""type"": ""MultiPoint"", ""coordinates"": [[2.3229101, 48.895922599718126]]}";n4856082321;NON;10;;public;NON;NON;inconnu;;48.8959225997;2.3229101
"{""type"": ""MultiPoint"", ""coordinates"": [[2.3296818, 48.78780499974493]]}";n6681649448;NON;10;;clientele;NON;NON;ratelier;;48.7878049997;2.3296818
"{""type"": ""MultiPoint"", ""coordinates"": [[2.3704854, 48.86740019972519]]}";n5357658873;NON;10;;public;NON;NON;arceaux;;48.8674001997;2.3704854
"{""type"": ""MultiPoint"", ""coordinates"": [[2.2863436, 48.90830309971505]]}";n5518523589;NON;18;;public;NON;NON;arceaux;;48.9083030997;2.2863436
"{""type"": ""MultiPoint"", ""coordinates"": [[2.0736504, 48.98850899969516]]}";n5805129670;NON;6;;public;NON;NON;inconnu;;48.9885089997;2.0736504
"{""type"": ""MultiPoint"", ""coordinates"": [[2.3645869, 48.884505699720954]]}";n630818796;NON;6;;public;NON;NON;arceaux;;48.8845056997;2.3645869
"{""type"": ""MultiPoint"", ""coordinates"": [[2.2448031, 48.893737999718645]]}";n3650968162;NON;2;;public;NON;NON;arceaux;;48.8937379997;2.2448031
"{""type"": ""MultiPoint"", ""coordinates"": [[2.1700822, 48.948180999705166]]}";n7539199754;NON;0;;public;NON;NON;inconnu;;48.9481809997;2.1700822
"{""type"": ""MultiPoint"", ""coordinates"": [[2.2792956, 48.865623899725634]]}";n5076228546;NON;10;;public;NON;NON;arceaux;;48.8656238997;2.2792956
"{""type"": ""MultiPoint"", ""coordinates"": [[2.4949356893293, 48.931553999712904]]}";w141829580;NON;0;;public;NON;NON;inconnu;;48.9315539997;2.49493568933
"{""type"": ""MultiPoint"", ""coordinates"": [[2.3172679, 48.83330089973364]]}";n2320943925;NON;18;;public;NON;NON;arceaux;;48.8333008997;2.3172679
"{""type"": ""MultiPoint"", ""coordinates"": [[2.3582369, 48.85327479972871]]}";n2177689694;NON;12;;public;NON;NON;arceaux;;48.8532747997;2.3582369
"{""type"": ""MultiPoint"", ""coordinates"": [[2.325463230456382, 48.7097913998187]]}";w92277934;OUI;0;;public;NON;NON;inconnu;;48.7097913998;2.32546323046
"{""type"": ""MultiPoint"", ""coordinates"": [[2.3690393, 48.83496709973324]]}";n2267747916;NON;12;;public;NON;NON;arceaux;;48.8349670997;2.3690393
"{""type"": ""MultiPoint"", ""coordinates"": [[2.3141747, 48.83464489973333]]}";n7489638540;NON;6;;public;NON;NON;arceaux;;48.8346448997;2.3141747
"{""type"": ""MultiPoint"", ""coordinates"": [[2.2110421, 48.84377679973107]]}";n6795645924;NON;6;;public;NON;NON;arceaux;;48.8437767997;2.2110421
"{""type"": ""MultiPoint"", ""coordinates"": [[2.342848, 48.88021719972202]]}";n5679785780;NON;10;;public;NON;NON;arceaux;;48.8802171997;2.342848
"{""type"": ""MultiPoint"", ""coordinates"": [[2.3347391, 48.86971819972462]]}";n5625211999;NON;10;;public;NON;NON;inconnu;;48.8697181997;2.3347391
"{""type"": ""MultiPoint"", ""coordinates"": [[2.3946522, 48.850562399729384]]}";n7485927198;NON;6;;public;NON;NON;arceaux;;48.8505623997;2.3946522
"{""type"": ""MultiPoint"", ""coordinates"": [[2.0418963, 48.78299509974614]]}";n1935367689;NON;20;;public;OUI;NON;inconnu;;48.7829950997;2.0418963
"{""type"": ""MultiPoint"", ""coordinates"": [[2.255224266435722, 48.73103074976016]]}";w798804905;OUI;0;;public;NON;NON;abri;;48.7310307498;2.25522426644
"{""type"": ""MultiPoint"", ""coordinates"": [[2.1907952, 48.69896849976697]]}";n3437169033;OUI;40;;public;NON;NON;ratelier;;48.6989684998;2.1907952
"{""type"": ""MultiPoint"", ""coordinates"": [[2.3939764, 48.87534849972322]]}";n5691530549;NON;8;;public;NON;NON;arceaux;;48.8753484997;2.3939764
