geo_shape;osm_id;couvert;capacite;nom;acces;payant;surveille;type;notes;Lat;Lon 
"{""type"": ""MultiPoint"", ""coordinates"": [[2.4588453, 48.89635834972103]]}";w365518403;NON;0;;public;NON;NON;inconnu;;48.8963583497;2.4588453
"{""type"": ""MultiPoint"", ""coordinates"": [[2.3695414, 48.86641169972544]]}";n5630763872;NON;8;;public;NON;NON;inconnu;;48.8664116997;2.3695414
"{""type"": ""MultiPoint"", ""coordinates"": [[2.3912681, 48.90107779971685]]}";n7244995629;NON;8;;public;NON;NON;inconnu;;48.9010777997;2.3912681
"{""type"": ""MultiPoint"", ""coordinates"": [[2.282457, 48.847477999730145]]}";n5220107913;NON;0;;public;NON;NON;inconnu;;48.8474779997;2.282457
"{""type"": ""MultiPoint"", ""coordinates"": [[2.3922189, 48.82248619973634]]}";n5470778523;NON;12;;public;NON;NON;inconnu;;48.8224861997;2.3922189
"{""type"": ""MultiPoint"", ""coordinates"": [[2.7032647, 48.23035549988219]]}";n2683133721;NON;6;;public;NON;NON;ancrage;;48.2303554999;2.7032647
"{""type"": ""MultiPoint"", ""coordinates"": [[2.4056043, 48.892851999718886]]}";n916889387;NON;24;;public;NON;NON;arceaux;;48.8928519997;2.4056043
"{""type"": ""MultiPoint"", ""coordinates"": [[2.3388178, 48.843449699731146]]}";n7491990824;NON;8;;public;NON;NON;arceaux;;48.8434496997;2.3388178
"{""type"": ""MultiPoint"", ""coordinates"": [[2.3636349, 48.86540319972569]]}";n5630787772;NON;8;;public;NON;NON;inconnu;;48.8654031997;2.3636349
"{""type"": ""MultiPoint"", ""coordinates"": [[2.3452447, 48.886451599720466]]}";n5691544813;NON;4;;public;NON;NON;arceaux;;48.8864515997;2.3452447
"{""type"": ""MultiPoint"", ""coordinates"": [[2.306678943794267, 48.81572214974019]]}";w741816979;NON;6;;public;NON;NON;arceaux;;48.8157221497;2.30667894379
"{""type"": ""MultiPoint"", ""coordinates"": [[2.3534401, 48.8266624997353]]}";n5628678465;NON;2;;public;NON;NON;arceaux;;48.8266624997;2.3534401
"{""type"": ""MultiPoint"", ""coordinates"": [[2.676209, 48.76672119975016]]}";n3750977762;NON;5;;public;NON;NON;inconnu;;48.7667211998;2.676209
"{""type"": ""MultiPoint"", ""coordinates"": [[2.5261514, 48.84442899973089]]}";n6335220171;OUI;24;;public;NON;NON;arceaux;;48.8444289997;2.5261514
"{""type"": ""MultiPoint"", ""coordinates"": [[2.3632294, 48.879118899722286]]}";n3526435087;NON;12;;public;NON;NON;arceaux;;48.8791188997;2.3632294
"{""type"": ""MultiPoint"", ""coordinates"": [[2.3478412, 48.88359359972118]]}";n5691540672;NON;2;;public;NON;NON;arceaux;;48.8835935997;2.3478412
"{""type"": ""MultiPoint"", ""coordinates"": [[2.3507842, 48.83970269973207]]}";n7537095798;NON;8;;public;NON;NON;arceaux;;48.8397026997;2.3507842
"{""type"": ""MultiPoint"", ""coordinates"": [[2.0967318, 48.86835449972495]]}";n4319473265;OUI;5;;public;NON;NON;inconnu;;48.8683544997;2.0967318
"{""type"": ""MultiPoint"", ""coordinates"": [[1.8539102, 49.160078899652774]]}";n1814188827;NON;0;;public;NON;NON;inconnu;;49.1600788997;1.8539102
"{""type"": ""MultiPoint"", ""coordinates"": [[2.2105341, 48.8495338997296]]}";n2415333562;NON;10;;public;NON;NON;arceaux;;48.8495338997;2.2105341
"{""type"": ""MultiPoint"", ""coordinates"": [[2.3090528, 48.93375659970874]]}";n4598752804;NON;20;;public;NON;NON;arceaux;;48.9337565997;2.3090528
"{""type"": ""MultiPoint"", ""coordinates"": [[2.3460467, 48.83613699973295]]}";n7537095818;NON;2;;public;NON;NON;arceaux;;48.8361369997;2.3460467
"{""type"": ""MultiPoint"", ""coordinates"": [[2.024458, 48.77153279974898]]}";n5664199514;NON;6;;public;NON;NON;arceaux;;48.7715327997;2.024458
"{""type"": ""MultiPoint"", ""coordinates"": [[2.3458024, 48.86480649972582]]}";n2276138393;NON;12;;public;NON;NON;arceaux;;48.8648064997;2.3458024
"{""type"": ""MultiPoint"", ""coordinates"": [[2.3603762, 48.70388279976576]]}";n7295843333;NON;6;;public;NON;NON;arceaux;;48.7038827998;2.3603762
"{""type"": ""MultiPoint"", ""coordinates"": [[2.3180268, 48.86309479972627]]}";n2713230198;NON;50;;public;NON;NON;arceaux;;48.8630947997;2.3180268
"{""type"": ""MultiPoint"", ""coordinates"": [[2.3041099, 48.76339879975099]]}";n3777115156;NON;6;;public;NON;NON;arceaux;;48.7633987998;2.3041099
"{""type"": ""MultiPoint"", ""coordinates"": [[2.1304692, 48.80059969974177]]}";n6711977669;NON;4;;public;NON;NON;arceaux;;48.8005996997;2.1304692
"{""type"": ""MultiPoint"", ""coordinates"": [[2.387963, 48.849642999729596]]}";n2177689678;NON;0;;public;NON;NON;arceaux;;48.8496429997;2.387963
"{""type"": ""MultiPoint"", ""coordinates"": [[2.4855523, 48.804979899740694]]}";n3869803967;NON;0;;public;NON;NON;inconnu;;48.8049798997;2.4855523
"{""type"": ""MultiPoint"", ""coordinates"": [[2.2824011, 48.84778239973005]]}";n2526712513;NON;0;;public;NON;NON;arceaux;;48.8477823997;2.2824011
"{""type"": ""MultiPoint"", ""coordinates"": [[2.3409175, 48.87481399972336]]}";n5625185267;NON;6;;public;NON;NON;inconnu;;48.8748139997;2.3409175
"{""type"": ""MultiPoint"", ""coordinates"": [[2.3376639, 48.839627399732095]]}";n2415333556;NON;20;;public;NON;NON;arceaux;;48.8396273997;2.3376639
"{""type"": ""MultiPoint"", ""coordinates"": [[2.2474797, 48.8181797997374]]}";n1614244923;NON;5;Parking vélos/motos Avenue de Verdun;public;NON;NON;inconnu;;48.8181797997;2.2474797
"{""type"": ""MultiPoint"", ""coordinates"": [[2.3310178, 48.82609539973544]]}";n2430045151;NON;18;;public;NON;NON;arceaux;;48.8260953997;2.3310178
"{""type"": ""MultiPoint"", ""coordinates"": [[2.2869914, 48.88712819972031]]}";n5679738003;NON;16;;public;NON;NON;arceaux;;48.8871281997;2.2869914
"{""type"": ""MultiPoint"", ""coordinates"": [[2.3616373, 48.86046199972692]]}";n5630787740;NON;50;;public;NON;NON;arceaux;;48.8604619997;2.3616373
"{""type"": ""MultiPoint"", ""coordinates"": [[2.2924215, 48.78745819974503]]}";n6687914943;NON;12;;public;NON;NON;arceaux;;48.7874581997;2.2924215
"{""type"": ""MultiPoint"", ""coordinates"": [[2.3120329, 48.82480419973577]]}";n4294770439;NON;16;;public;NON;NON;arceaux;;48.8248041997;2.3120329
"{""type"": ""MultiPoint"", ""coordinates"": [[2.2998803, 48.85190979972904]]}";n5615712632;NON;10;;public;NON;NON;inconnu;;48.8519097997;2.2998803
"{""type"": ""MultiPoint"", ""coordinates"": [[2.2657894, 48.8988473997174]]}";n3613604434;NON;8;;public;NON;NON;arceaux;;48.8988473997;2.2657894
"{""type"": ""MultiPoint"", ""coordinates"": [[3.2204641, 48.97382229969881]]}";n2749510481;OUI;10;;public;NON;NON;inconnu;;48.9738222997;3.2204641
"{""type"": ""MultiPoint"", ""coordinates"": [[2.3712799, 48.88644169972047]]}";n5627504639;NON;12;;public;NON;NON;inconnu;;48.8864416997;2.3712799
"{""type"": ""MultiPoint"", ""coordinates"": [[2.4885931, 48.853660599728606]]}";n4115037353;OUI;40;Véligo;clientele;OUI;NON;abri;;48.8536605997;2.4885931
"{""type"": ""MultiPoint"", ""coordinates"": [[2.295908, 48.86815119972501]]}";n4753708180;NON;8;;public;NON;NON;arceaux;;48.8681511997;2.295908
"{""type"": ""MultiPoint"", ""coordinates"": [[2.3254514, 48.88498749972083]]}";n5620640091;NON;4;;public;NON;NON;inconnu;;48.8849874997;2.3254514
"{""type"": ""MultiPoint"", ""coordinates"": [[2.418614, 48.62732739978471]]}";n3934054147;NON;12;;public;NON;NON;arceaux;;48.6273273998;2.418614
"{""type"": ""MultiPoint"", ""coordinates"": [[2.2893968, 48.89017299971954]]}";n5263954649;NON;16;;public;NON;NON;arceaux;;48.8901729997;2.2893968
"{""type"": ""MultiPoint"", ""coordinates"": [[2.3194796, 48.88455739972095]]}";n2969414046;NON;10;;public;NON;NON;arceaux;;48.8845573997;2.3194796
"{""type"": ""MultiPoint"", ""coordinates"": [[2.33817716420972, 49.03257619968544]]}";w71159929;OUI;12;;public;NON;NON;abri;;49.0325761997;2.33817716421
"{""type"": ""MultiPoint"", ""coordinates"": [[2.3613236, 48.833672999733565]]}";n4333771608;NON;10;;public;NON;NON;arceaux;;48.8336729997;2.3613236
"{""type"": ""MultiPoint"", ""coordinates"": [[2.3131243, 48.83219539973394]]}";n5691493835;NON;6;;public;NON;NON;arceaux;;48.8321953997;2.3131243
"{""type"": ""MultiPoint"", ""coordinates"": [[2.2795955, 48.86596799972556]]}";n1454780820;NON;0;;public;NON;NON;inconnu;;48.8659679997;2.2795955
"{""type"": ""MultiPoint"", ""coordinates"": [[2.053458, 49.011758799689396]]}";n1628371656;NON;0;;public;NON;NON;inconnu;;49.0117587997;2.053458
"{""type"": ""MultiPoint"", ""coordinates"": [[2.2597185, 48.83713019973269]]}";n5615336436;NON;12;;public;NON;NON;inconnu;;48.8371301997;2.2597185
"{""type"": ""MultiPoint"", ""coordinates"": [[2.1257721, 48.82566229973554]]}";n3665553273;NON;20;;public;NON;NON;arceaux;;48.8256622997;2.1257721
"{""type"": ""MultiPoint"", ""coordinates"": [[2.341166, 48.895743599718166]]}";n6237817931;NON;6;;public;NON;NON;arceaux;;48.8957435997;2.341166
"{""type"": ""MultiPoint"", ""coordinates"": [[2.3404909, 48.839995599731985]]}";n7241759359;NON;6;;public;NON;NON;arceaux;;48.8399955997;2.3404909
"{""type"": ""MultiPoint"", ""coordinates"": [[2.318718302717138, 48.81737239973775]]}";w708558509;NON;24;;public;NON;NON;arceaux;;48.8173723997;2.31871830272
"{""type"": ""MultiPoint"", ""coordinates"": [[2.3420898, 48.83487089973326]]}";n5688894122;NON;8;;public;NON;NON;arceaux;;48.8348708997;2.3420898
"{""type"": ""MultiPoint"", ""coordinates"": [[2.3762897, 48.89939209971727]]}";n5596102088;NON;6;;public;NON;NON;arceaux;;48.8993920997;2.3762897
"{""type"": ""MultiPoint"", ""coordinates"": [[2.3976638, 48.840543499731865]]}";n2267747921;NON;10;;public;NON;NON;arceaux;;48.8405434997;2.3976638
"{""type"": ""MultiPoint"", ""coordinates"": [[2.2610886, 48.723623399760854]]}";n7022082800;NON;8;;public;NON;NON;arceaux;;48.7236233998;2.2610886
"{""type"": ""MultiPoint"", ""coordinates"": [[2.3497064, 48.88968159971967]]}";n630899583;NON;20;;public;NON;NON;arceaux;;48.8896815997;2.3497064
"{""type"": ""MultiPoint"", ""coordinates"": [[2.2319868, 48.89343279971872]]}";n5309090115;NON;10;;public;NON;NON;arceaux;;48.8934327997;2.2319868
"{""type"": ""MultiPoint"", ""coordinates"": [[2.2372056, 48.830413099734365]]}";n1631283665;NON;0;;public;NON;NON;inconnu;;48.8304130997;2.2372056
"{""type"": ""MultiPoint"", ""coordinates"": [[3.3514197, 48.45255429982785]]}";n1656066427;NON;5;;public;NON;NON;inconnu;;48.4525542998;3.3514197
"{""type"": ""MultiPoint"", ""coordinates"": [[2.373103, 48.8629805997263]]}";n5630763906;NON;10;;public;NON;NON;inconnu;;48.8629805997;2.373103
"{""type"": ""MultiPoint"", ""coordinates"": [[2.1557128, 48.8854615997207]]}";n4969779134;NON;0;;public;NON;NON;inconnu;;48.8854615997;2.1557128
"{""type"": ""MultiPoint"", ""coordinates"": [[2.2946781, 48.89114029971932]]}";n4095808245;NON;8;;public;NON;NON;arceaux;;48.8911402997;2.2946781
"{""type"": ""MultiPoint"", ""coordinates"": [[2.3308998, 48.82837199973488]]}";n7366071033;NON;8;;public;NON;NON;arceaux;;48.8283719997;2.3308998
"{""type"": ""MultiPoint"", ""coordinates"": [[2.3555404, 48.886940099720334]]}";n2470757718;NON;24;;public;NON;NON;arceaux;;48.8869400997;2.3555404
"{""type"": ""MultiPoint"", ""coordinates"": [[2.2486022, 48.90705769971535]]}";n5411008515;NON;10;;public;NON;NON;arceaux;;48.9070576997;2.2486022
"{""type"": ""MultiPoint"", ""coordinates"": [[2.3250221, 48.870849099724325]]}";n6892460445;NON;4;;public;NON;NON;arceaux;;48.8708490997;2.3250221
"{""type"": ""MultiPoint"", ""coordinates"": [[2.361676, 48.851836599729054]]}";n2177689687;NON;22;;public;NON;NON;arceaux;;48.8518365997;2.361676
"{""type"": ""MultiPoint"", ""coordinates"": [[2.3509583, 48.861767899726594]]}";n2276138368;NON;6;;public;NON;NON;arceaux;;48.8617678997;2.3509583
"{""type"": ""MultiPoint"", ""coordinates"": [[2.3941, 48.855053999728256]]}";n2557519405;NON;14;;public;NON;NON;arceaux;;48.8550539997;2.3941
"{""type"": ""MultiPoint"", ""coordinates"": [[2.3568351, 48.83682959973277]]}";n2650141033;NON;48;;public;NON;NON;arceaux;;48.8368295997;2.3568351
"{""type"": ""MultiPoint"", ""coordinates"": [[2.1977558, 48.8870728997203]]}";n3612667471;NON;8;;public;NON;NON;arceaux;;48.8870728997;2.1977558
"{""type"": ""MultiPoint"", ""coordinates"": [[2.3619569, 48.89321119971879]]}";n5542638005;NON;10;;public;NON;NON;arceaux;;48.8932111997;2.3619569
"{""type"": ""MultiPoint"", ""coordinates"": [[2.1464012, 48.714330099763146]]}";n3980845804;NON;10;;public;NON;NON;arceaux;;48.7143300998;2.1464012
"{""type"": ""MultiPoint"", ""coordinates"": [[2.2777485, 48.89360339971868]]}";n3712386022;NON;32;;public;NON;NON;arceaux;;48.8936033997;2.2777485
"{""type"": ""MultiPoint"", ""coordinates"": [[2.3077777, 48.88204259972156]]}";n5620640046;NON;6;;public;NON;NON;inconnu;;48.8820425997;2.3077777
"{""type"": ""MultiPoint"", ""coordinates"": [[2.4380145, 48.5968999998244]]}";w222216591;OUI;10;local 2 roues;public;NON;NON;abri;;48.5968999998;2.4380145
"{""type"": ""MultiPoint"", ""coordinates"": [[2.3756993, 48.849128099729725]]}";n561159238;NON;6;;public;NON;NON;inconnu;;48.8491280997;2.3756993
"{""type"": ""MultiPoint"", ""coordinates"": [[2.3739698, 48.85203639972901]]}";n2190097089;NON;16;;public;NON;NON;arceaux;;48.8520363997;2.3739698
"{""type"": ""MultiPoint"", ""coordinates"": [[2.3285556, 48.854301299728434]]}";n5615712638;NON;26;;public;NON;NON;arceaux;;48.8543012997;2.3285556
"{""type"": ""MultiPoint"", ""coordinates"": [[2.3330582, 48.828584399734815]]}";n2430045152;NON;14;;public;NON;NON;arceaux;;48.8285843997;2.3330582
"{""type"": ""MultiPoint"", ""coordinates"": [[1.9638386, 49.00689549969061]]}";n2793352414;OUI;10;;public;NON;NON;inconnu;;49.0068954997;1.9638386
"{""type"": ""MultiPoint"", ""coordinates"": [[2.3554872, 48.82214309973643]]}";n5628678062;NON;8;;public;NON;NON;arceaux;;48.8221430997;2.3554872
"{""type"": ""MultiPoint"", ""coordinates"": [[2.070049, 48.9007916997169]]}";n6409344707;NON;15;;clientele;NON;NON;arceaux;;48.9007916997;2.070049
"{""type"": ""MultiPoint"", ""coordinates"": [[2.2898116, 48.83546329973313]]}";n5628185757;NON;4;;public;NON;NON;inconnu;;48.8354632997;2.2898116
"{""type"": ""MultiPoint"", ""coordinates"": [[2.3987611, 48.896440199718]]}";n6225235152;NON;8;;public;NON;NON;inconnu;;48.8964401997;2.3987611
"{""type"": ""MultiPoint"", ""coordinates"": [[2.3242065, 48.89137479971925]]}";n5620640067;NON;6;;public;NON;NON;inconnu;;48.8913747997;2.3242065
"{""type"": ""MultiPoint"", ""coordinates"": [[2.3530294, 48.861140499726744]]}";n7111581956;OUI;0;;clientele;NON;NON;inconnu;;48.8611404997;2.3530294
"{""type"": ""MultiPoint"", ""coordinates"": [[2.3168869, 48.83843459973238]]}";n5551438294;NON;16;;public;NON;NON;arceaux;;48.8384345997;2.3168869
"{""type"": ""MultiPoint"", ""coordinates"": [[2.2424041, 48.88991769971961]]}";n5402504495;NON;44;;public;NON;NON;arceaux;;48.8899176997;2.2424041
"{""type"": ""MultiPoint"", ""coordinates"": [[2.2331685, 48.945831899705745]]}";n4572312240;NON;0;;public;NON;NON;inconnu;;48.9458318997;2.2331685
"{""type"": ""MultiPoint"", ""coordinates"": [[2.345351, 48.9395787997073]]}";n4916334448;NON;10;;public;NON;NON;inconnu;;48.9395787997;2.345351
"{""type"": ""MultiPoint"", ""coordinates"": [[2.4115253, 48.87176239972412]]}";n5691529781;NON;6;;public;NON;NON;arceaux;;48.8717623997;2.4115253
"{""type"": ""MultiPoint"", ""coordinates"": [[2.269769, 48.90345889971625]]}";n3613604437;NON;6;;public;NON;NON;arceaux;;48.9034588997;2.269769
"{""type"": ""MultiPoint"", ""coordinates"": [[2.1603809, 48.940723999707025]]}";n7539199753;NON;0;;public;NON;NON;inconnu;;48.9407239997;2.1603809
"{""type"": ""MultiPoint"", ""coordinates"": [[2.3838816, 48.851582199729116]]}";n5630763916;NON;10;;public;NON;NON;inconnu;;48.8515821997;2.3838816
"{""type"": ""MultiPoint"", ""coordinates"": [[2.3004526, 48.82849639973483]]}";n3744100981;NON;16;;public;NON;NON;arceaux;;48.8284963997;2.3004526
"{""type"": ""MultiPoint"", ""coordinates"": [[2.2931439, 48.60124849979116]]}";n4876117480;NON;0;École Langevin;public;NON;NON;inconnu;;48.6012484998;2.2931439
"{""type"": ""MultiPoint"", ""coordinates"": [[2.289426, 48.87046749972444]]}";n7604956847;NON;10;;public;NON;NON;arceaux;;48.8704674997;2.289426
"{""type"": ""MultiPoint"", ""coordinates"": [[2.2646187, 48.726607299760104]]}";n6547543781;NON;10;Iliade;clientele;NON;NON;ratelier;;48.7266072998;2.2646187
"{""type"": ""MultiPoint"", ""coordinates"": [[2.4741527, 48.78939589974455]]}";n6755497133;NON;4;;public;NON;NON;arceaux;;48.7893958997;2.4741527
"{""type"": ""MultiPoint"", ""coordinates"": [[2.3212475, 48.844856499730795]]}";n5628335803;NON;26;;public;NON;NON;arceaux;;48.8448564997;2.3212475
"{""type"": ""MultiPoint"", ""coordinates"": [[2.2238744, 48.870463999724436]]}";n2984948817;NON;24;;public;NON;NON;arceaux;;48.8704639997;2.2238744
"{""type"": ""MultiPoint"", ""coordinates"": [[2.2673462, 48.72744869975991]]}";n5150673075;NON;14;;public;NON;NON;arceaux;;48.7274486998;2.2673462
"{""type"": ""MultiPoint"", ""coordinates"": [[2.3593964, 48.85534149972818]]}";n5218648943;NON;10;;public;NON;NON;arceaux;;48.8553414997;2.3593964
"{""type"": ""MultiPoint"", ""coordinates"": [[2.231134, 48.843255999731184]]}";n1324794743;NON;0;;public;NON;NON;inconnu;;48.8432559997;2.231134
"{""type"": ""MultiPoint"", ""coordinates"": [[2.34290602557074, 48.91962629971315]]}";w679057141;NON;10;;public;NON;NON;arceaux;;48.9196262997;2.34290602557
"{""type"": ""MultiPoint"", ""coordinates"": [[2.3588434, 48.838921599732274]]}";n2337609773;NON;8;;public;NON;NON;arceaux;;48.8389215997;2.3588434
"{""type"": ""MultiPoint"", ""coordinates"": [[2.3157912, 48.78068269974672]]}";n6511736784;NON;8;;public;NON;NON;arceaux;;48.7806826997;2.3157912
"{""type"": ""MultiPoint"", ""coordinates"": [[2.3870153, 48.824229099735895]]}";n5470865685;NON;8;;public;NON;NON;ratelier;;48.8242290997;2.3870153
"{""type"": ""MultiPoint"", ""coordinates"": [[2.3446913, 48.86588469972558]]}";n2288399386;NON;12;;public;NON;NON;arceaux;;48.8658846997;2.3446913
"{""type"": ""MultiPoint"", ""coordinates"": [[2.3301059, 48.89255159971895]]}";n5623106811;NON;8;;public;NON;NON;arceaux;;48.8925515997;2.3301059
"{""type"": ""MultiPoint"", ""coordinates"": [[2.2887067, 48.84421579973094]]}";n7594912946;NON;2;;public;NON;NON;arceaux;;48.8442157997;2.2887067
"{""type"": ""MultiPoint"", ""coordinates"": [[2.3405068, 48.87669159972288]]}";n1827138918;NON;8;;public;NON;NON;arceaux;;48.8766915997;2.3405068
"{""type"": ""MultiPoint"", ""coordinates"": [[2.4011204, 48.89321799971878]]}";n7248185593;NON;18;;public;NON;NON;inconnu;;48.8932179997;2.4011204
"{""type"": ""MultiPoint"", ""coordinates"": [[2.3540983, 48.87291519972381]]}";n5613890113;NON;14;;public;NON;NON;inconnu;;48.8729151997;2.3540983
"{""type"": ""MultiPoint"", ""coordinates"": [[2.2881714, 48.853473199728654]]}";n5628186454;NON;14;;public;NON;NON;inconnu;;48.8534731997;2.2881714
"{""type"": ""MultiPoint"", ""coordinates"": [[2.3682178, 48.84875869972983]]}";n5470796361;NON;8;;public;NON;NON;arceaux;;48.8487586997;2.3682178
"{""type"": ""MultiPoint"", ""coordinates"": [[2.0275724, 48.918588999712505]]}";n3241154586;NON;10;Compexe Marcel Cerdan;public;NON;NON;arceaux;;48.9185889997;2.0275724
"{""type"": ""MultiPoint"", ""coordinates"": [[2.3355721, 48.840120199731956]]}";n7490010146;NON;6;;public;NON;NON;arceaux;;48.8401201997;2.3355721
"{""type"": ""MultiPoint"", ""coordinates"": [[2.2390527, 48.899265099717304]]}";n3645132792;NON;4;;public;NON;NON;arceaux;;48.8992650997;2.2390527
"{""type"": ""MultiPoint"", ""coordinates"": [[2.33737, 48.82032669973688]]}";n3401703508;NON;21;;public;NON;NON;ratelier;;48.8203266997;2.33737
"{""type"": ""MultiPoint"", ""coordinates"": [[2.3392728, 48.83219089973394]]}";n2607692192;NON;22;;public;NON;NON;arceaux;;48.8321908997;2.3392728
"{""type"": ""MultiPoint"", ""coordinates"": [[2.3426397, 48.87033359972446]]}";n6553631259;NON;12;;public;NON;NON;arceaux;;48.8703335997;2.3426397
"{""type"": ""MultiPoint"", ""coordinates"": [[2.2932178, 48.79367499974349]]}";n7544595290;NON;0;;public;NON;NON;arceaux;;48.7936749997;2.2932178
"{""type"": ""MultiPoint"", ""coordinates"": [[2.3496393, 48.88583159972061]]}";n5623106810;NON;16;;public;NON;NON;inconnu;;48.8858315997;2.3496393
"{""type"": ""MultiPoint"", ""coordinates"": [[2.4031077, 48.833600699733566]]}";n7264755539;NON;6;;public;NON;NON;arceaux;;48.8336006997;2.4031077
"{""type"": ""MultiPoint"", ""coordinates"": [[2.6921855, 48.47566659982217]]}";n2682364332;NON;24;;public;NON;NON;inconnu;;48.4756665998;2.6921855
"{""type"": ""MultiPoint"", ""coordinates"": [[2.3895606, 48.85249759972888]]}";n2304319867;NON;12;;public;NON;NON;arceaux;;48.8524975997;2.3895606
"{""type"": ""MultiPoint"", ""coordinates"": [[2.3715612, 48.859343099727184]]}";n5691548210;NON;10;;public;NON;NON;arceaux;;48.8593430997;2.3715612
"{""type"": ""MultiPoint"", ""coordinates"": [[2.4037967, 48.862014599726535]]}";n5338650950;NON;4;;public;NON;NON;arceaux;;48.8620145997;2.4037967
"{""type"": ""MultiPoint"", ""coordinates"": [[2.2983126, 48.80615019974039]]}";n4829023586;NON;0;;public;NON;NON;inconnu;;48.8061501997;2.2983126
"{""type"": ""MultiPoint"", ""coordinates"": [[2.2998134, 48.84069969973181]]}";n2500448743;NON;8;;public;NON;NON;arceaux;;48.8406996997;2.2998134
"{""type"": ""MultiPoint"", ""coordinates"": [[2.3493475, 48.845023099730746]]}";n5688890177;NON;10;;public;NON;NON;arceaux;;48.8450230997;2.3493475
"{""type"": ""MultiPoint"", ""coordinates"": [[2.4126231, 48.86322699972623]]}";n5630745372;NON;24;;public;NON;NON;inconnu;;48.8632269997;2.4126231
"{""type"": ""MultiPoint"", ""coordinates"": [[2.3426553, 48.77838269974727]]}";n7143128012;NON;5;;public;NON;NON;ratelier;;48.7783826997;2.3426553
"{""type"": ""MultiPoint"", ""coordinates"": [[2.2832881, 48.69451989976808]]}";n5730762907;NON;5;;public;NON;NON;ratelier;;48.6945198998;2.2832881
"{""type"": ""MultiPoint"", ""coordinates"": [[2.2932281, 48.84785379973003]]}";n7597522602;NON;16;;public;NON;NON;arceaux;;48.8478537997;2.2932281
"{""type"": ""MultiPoint"", ""coordinates"": [[2.3829893, 48.873640899723625]]}";n7468166264;NON;4;;public;NON;NON;arceaux;;48.8736408997;2.3829893
"{""type"": ""MultiPoint"", ""coordinates"": [[2.3476673, 48.48377519982015]]}";n5825380055;NON;6;;public;NON;NON;arceaux;;48.4837751998;2.3476673
"{""type"": ""MultiPoint"", ""coordinates"": [[2.301714, 48.846013499730496]]}";n5628185743;NON;4;;public;NON;NON;inconnu;;48.8460134997;2.301714
"{""type"": ""MultiPoint"", ""coordinates"": [[2.3533216, 48.880348799721986]]}";n5691548648;NON;18;;public;NON;NON;arceaux;;48.8803487997;2.3533216
"{""type"": ""MultiPoint"", ""coordinates"": [[2.3678061, 48.85183719972905]]}";n4212041553;NON;10;;public;NON;NON;arceaux;;48.8518371997;2.3678061
"{""type"": ""MultiPoint"", ""coordinates"": [[2.3501401, 48.88831559972]]}";n630858351;NON;12;;public;NON;NON;arceaux;;48.8883155997;2.3501401
"{""type"": ""MultiPoint"", ""coordinates"": [[2.3374161, 48.795139099743125]]}";n5170026141;NON;6;;public;NON;NON;arceaux;;48.7951390997;2.3374161
"{""type"": ""MultiPoint"", ""coordinates"": [[2.2359001, 48.71878469976206]]}";n3744411872;OUI;11;;public;NON;NON;ratelier;;48.7187846998;2.2359001
"{""type"": ""MultiPoint"", ""coordinates"": [[2.2066573, 48.892167699719046]]}";n1411501174;NON;16;;public;NON;NON;inconnu;;48.8921676997;2.2066573
"{""type"": ""MultiPoint"", ""coordinates"": [[2.2724242, 48.73102689975903]]}";n5915982550;NON;8;;public;NON;NON;arceaux;;48.7310268998;2.2724242
"{""type"": ""MultiPoint"", ""coordinates"": [[2.4324887, 48.625765499785096]]}";n2286699955;OUI;15;;public;NON;OUI;arceaux;;48.6257654998;2.4324887
"{""type"": ""MultiPoint"", ""coordinates"": [[2.423191, 48.84865619972985]]}";n429177404;NON;10;;public;NON;NON;arceaux;;48.8486561997;2.423191
"{""type"": ""MultiPoint"", ""coordinates"": [[2.3800919, 48.88800169972009]]}";n5627507623;NON;14;;public;NON;NON;inconnu;;48.8880016997;2.3800919
"{""type"": ""MultiPoint"", ""coordinates"": [[2.3570678, 48.865103299725774]]}";n5630787731;NON;16;;public;NON;NON;inconnu;;48.8651032997;2.3570678
"{""type"": ""MultiPoint"", ""coordinates"": [[2.3229837, 48.8988378997174]]}";n5679778675;NON;16;;public;NON;NON;arceaux;;48.8988378997;2.3229837
"{""type"": ""MultiPoint"", ""coordinates"": [[2.3509078, 48.83784429973253]]}";n5688892782;NON;14;;public;NON;NON;arceaux;;48.8378442997;2.3509078
"{""type"": ""MultiPoint"", ""coordinates"": [[2.0415443, 48.77883829974716]]}";n5664199496;NON;4;;public;NON;NON;arceaux;;48.7788382997;2.0415443
"{""type"": ""MultiPoint"", ""coordinates"": [[2.2509496, 48.89933639971728]]}";n2562920347;OUI;12;;public;NON;NON;arceaux;;48.8993363997;2.2509496
"{""type"": ""MultiPoint"", ""coordinates"": [[2.1342041, 48.892073999719074]]}";n7184609396;NON;20;;public;NON;NON;autres;;48.8920739997;2.1342041
"{""type"": ""MultiPoint"", ""coordinates"": [[2.4239532, 48.852836799728806]]}";n6133415337;NON;6;;public;NON;NON;arceaux;;48.8528367997;2.4239532
"{""type"": ""MultiPoint"", ""coordinates"": [[2.3676258, 48.860094999727]]}";n4760644672;NON;10;;public;NON;NON;arceaux;;48.8600949997;2.3676258
"{""type"": ""MultiPoint"", ""coordinates"": [[2.3619594, 48.89326289971877]]}";n5542638004;NON;10;;public;NON;NON;arceaux;;48.8932628997;2.3619594
